/* This file is the Observation log for Macros that were executed by the 
/* NEAR XGRS instrument system.  A description of each record can be found
/* in the XGRS_COMMAND_DESC.TXT and XGRS_INST_USER_GUIDE4.TXT document.
/*
XGRS_Command_#ID,XGRS_Command,XGRS_Mode,YEAR,DOY,HH:MM:SS,PARM  #1,PARM #2,PARM #3,PARM #4,PARM #4,PARM #5,PARM #6
XGRQ_10,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,149,3:43:15,510,4,5,0,0
XGRQ_10,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,149,5:08:30,510,5,-15.45,0.91,3.79
XGRQ_10,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,149,6:18:30,510,4,5,0,0
XGRQ_10,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,149,11:07:00,,,,,
XGRQ_11,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,149,07:14.3,510,4,5,0,0
XGRQ_11,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,150,13:30.3,510,5,0.6362,-2.7558,3.3706
XGRQ_11,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,150,18:30.3,510,5,-13.7,-0.475,4.734
XGRQ_11,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,150,13:30.3,510,4,5,0,0
XGRQ_11,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,150,59:00.3,,,,,
XGRQ_12,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,150,3:43:15,510,4,5,0,0
XGRQ_12,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,150,8:38:30,510,5,8.467,2.4279,4.296
XGRQ_12,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,150,9:38:30,510,4,5,0,0
XGRQ_12,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,150,11:07:00,,,,,
XGRQ_00,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,150,19:53:15,510,5,-13.2,1.86,4.37
XGRQ_00,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,150,22:03:30,510,4,0,0,0
XGRQ_00,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,151,0:03:30,510,4,4,0,0
XGRQ_00,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,151,2:59:00,,,,,
XGRQ_01,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,151,3:43:15,510,5,-13.01,-1.26,4.8
XGRQ_01,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,151,4:53:30,510,4,5,0,0
XGRQ_01,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,151,7:53:30,510,5,14.3,-6.53,4.01
XGRQ_01,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,151,9:33:30,510,5,-12.43,-2.75,3.28
XGRQ_01,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,151,11:07:00,,,,,
mg_cal,XGRS_CAL_SRC_POS,Cal_Source_pos,2000,151,12:10:00,21600,MG,,,
mg_cal,XGRS_CAL_SRC_POS_HOME,Source_home,2000,151,12:10:00,21600,MG,FORWARD,,
XGRQ_02,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,151,14:22.3,510,4,5,0,0
XGRQ_02,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,152,33:30.3,510,5,12.5,-5.06,5.45
XGRQ_02,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,152,53:30.3,510,5,14.3,-6.53,4.01
XGRQ_02,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,152,59:00.3,,,,,
XGRQ_03,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,152,3:43:15,510,5,-13.01,-1.26,4.8
XGRQ_03,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,152,5:23:30,510,4,2,0,0
XGRQ_03,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,152,10:03:30,510,5,1,0.52,6.02
XGRQ_03,XGRS_GNC_POINT_QUICK,GNC_POINT_QUICK,2000,152,12:03:30,510,4,5,0,0
XGRQ_03,XGRS_RELEASE_ATTITUDE,RELEASE_ATTITUDE,2000,152,13:54:00,,,,,
