Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.    IDs,Filters,Est.  comp.,Mbits,P/B (hrs @ 8.8 kb/s),P/B (hrs @ 17.6 kb/s),P/B (hrs @ 26.4 kb/s),week,Target,Description,Status
Opnav 105a KD,,NAV,14-Apr,105,5:45,0:16,6:01,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
MSI_South_2x3s_105,,MSI,14-Apr,105,07:30,5:45,13:15,,8,240,18,4,2.6,143.06,5.02,2.50,1.67,00101,Eros,1 filter 4 image every 83 seconds,done
NIS_South_2x3s_105,,MSI,14-Apr,105,07:30,5:45,13:15,,,2400,6,,,2.75,0.1,0.0,0.0,00101,Eros,5x5 mosaics (6sp + 2r + 3d) calint=5,done
Opnav 105b KD,,NAV,14-Apr,105,13:55,0:16,14:11,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,14-Apr,105,14:45,7:45,22:30,,,,,,,173.18,6.08,3.03,2.03,,,,
Opnav 105c KD,,NAV,14-Apr,105,22:35,0:16,22:51,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
Star Calibration 105B,,NAV,14-Apr,105,23:25,00:30,23:55,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00101,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
RegGlobal_106,,MSI,15-Apr,106,00:00,1:30,1:30,,8,32,18,4,2.5,19.84,0.70,0.35,0.23,00101,Eros,two 4x4 mosaics in filter 4,done
NIS_RegGlobal_106,,MSI,15-Apr,106,00:00,0:50,0:50,,,336,4,,,0.38,0.0,0.0,0.0,00101,Eros,5x7 mosaics (5sp + 2r + 2d) calint=4,done
MSI_Feature_2x2_106,,MSI,15-Apr,106,00:50,1:40,2:30,,8,136,18,4,2.8,75.28,2.64,1.32,0.88,00101,Eros,1 filter 4 image every 83 seconds,done
NIS_Feature_2x2_106,,MSI,15-Apr,106,00:50,1:40,2:30,,,612,5,,,0.70,0.0,0.0,0.0,00101,Eros,5x3 mosaics (5sp + 2r + 2d) calint=5,done
Opnav 106a KD,,NAV,15-Apr,106,2:45,0:16,3:01,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,15-Apr,106,3:35,6:25,10:00,,,,,,,108.50,3.81,1.90,1.27,,,,
Opnav 106b KD,,NAV,15-Apr,106,10:00,0:16,10:16,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
MSI_LonScan_106A,,MSI,15-Apr,106,15:00,5:45,20:45,,8,228,18,4,2.6,135.91,4.77,2.37,1.59,00101,Eros,1 filter 4 image every 83 seconds,done
NIS_LonScan_106A,,MSI,15-Apr,106,15:00,5:45,20:45,,,3852,3,,,4.41,0.2,0.1,0.1,00101,Eros,mp 73-77 (5sp +2r +2d) calint=5  642 exec.,done
Opnav 106c KD,,NAV,15-Apr,106,21:00,0:16,21:16,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
MSI_LonScan_106B,,MSI,15-Apr,106,21:30,5:45,3:15,,8,235,18,4,2.6,140.08,4.91,2.45,1.64,00101,Eros,1 filter 4 image every 83 seconds,done
NIS_LonScan_106B,,MSI,15-Apr,106,21:30,5:45,3:15,,,3852,3,,,4.41,0.2,0.1,0.1,00101,Eros,mp 73-77 (5sp +2r +2d) calint=5  642 exec.,done
Opnav 107a KD,,NAV,16-Apr,107,3:30,0:16,3:46,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
MSI_North_2x3s_107,,MSI,16-Apr,107,04:30,5:45,10:15,,8,228,18,4,2.6,135.91,4.77,2.37,1.59,00101,Eros,1 filter 4 image every 83 seconds,done
NIS_North_2x3s_107,,MSI,16-Apr,107,04:30,5:45,10:15,,,2280,6,,,2.61,0.1,0.0,0.0,00101,Eros,5x5 mosaics (6sp + 2r + 3d) calint=5,done
Star Calibration 107,,NAV,16-Apr,107,12:00,00:30,12:30,,12,4,29,0,2.6,2.38,0.1,0.0,0.0,00101,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Opnav 107b KD,,NAV,16-Apr,107,12:45,0:16,13:01,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,16-Apr,107,13:40,7:45,21:25,,,,,,,445.55,15.63,7.79,5.22,,,,
Opnav 107c KD,,NAV,16-Apr,107,21:30,0:16,21:46,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
RegGlobal_107,,MSI,16-Apr,107,22:15,0:50,23:05,,8,16,18,4,2.5,9.92,0.35,0.17,0.12,00101,Eros,4x4 mosaic in filter 4,done
NIS_RegGlobal_107,,MSI,16-Apr,107,22:15,0:50,23:05,,,168,4,,,0.19,0.0,0.0,0.0,00101,Eros,5x7 mosaics (5sp + 2r + 2d) calint=4,done
MSI_Feature_2x2_107,,MSI,16-Apr,107,22:45,1:40,0:25,,8,288,18,4,2.8,159.41,5.59,2.79,1.87,00101,Eros,1 filter 4 image every 83 seconds,done
NIS_Feature_2x2_106,,MSI,16-Apr,107,22:45,1:40,0:25,,,1296,5,,,1.48,0.1,0.0,0.0,00101,Eros,5x3 mosaics (5sp + 2r + 2d) calint=5,done
Opnav 108a KD,,NAV,17-Apr,108,2:40,0:16,2:56,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00101,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,17-Apr,108,3:30,6:30,10:00,,,,,,,180.92,6.35,3.16,2.12,,,,
Total MSI images,,,,,,,,,,2398,,,,,,,,,,,
Opnav 108b KD,,NAV,17-Apr,108,9:55,0:26,10:21,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
Star Calibration 108,,NAV,17-Apr,108,14:00,0:30,14:30,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00108,undefined,"Frames taken from park mode, 4 seq 29 (FAST)",done
MSI_RideNLR_108A,,NLR,17-Apr,108,14:50,1:00,15:50,,8,100,18,4,2.6,59.61,2.09,1.04,0.70,00108,Eros,1 filter 4 image every 30 seconds,done
MSI_RideNLR_108B,,NLR,17-Apr,108,17:00,1:50,18:50,,8,200,18,4,2.6,119.22,4.18,2.08,1.40,00108,Eros,1 filter 4 image every 30 seconds,done
MSI_RideNLR_108C,,NLR,17-Apr,108,19:50,1:50,21:40,,8,100,18,4,2.6,59.61,2.09,1.04,0.70,00108,Eros,1 filter 4 image every 60 seconds,done
MSI_RideNLR_108D,,NLR,17-Apr,108,22:20,1:00,23:20,,8,50,18,4,2.6,29.80,1.05,0.52,0.35,00108,Eros,1 filter 4 image every 60 seconds,done
Opnav 108c KD,,NAV,17-Apr,108,23:22,0:26,23:48,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
MSI_RideNLR_109A,,NLR,18-Apr,109,1:40,1:50,3:30,,8,10,18,4,2.6,5.96,0.21,0.10,0.07,00108,Eros,1 filter 4 image every 600 seconds,done
MSI_RideNLR_109B,,NLR,18-Apr,109,4:15,1:50,6:05,,8,10,18,4,2.6,5.96,0.21,0.10,0.07,00108,Eros,1 filter 4 image every 600 seconds,done
Opnav 109a KD,,NAV,18-Apr,109,6:05,0:26,6:31,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
MSI_RideNLR_109C,,NLR,18-Apr,109,6:50,1:50,8:40,,8,100,18,4,2.6,59.61,2.09,1.04,0.70,00108,Eros,1 filter 4 image every 60 seconds,done
MSI_RideNLR_109D,,NLR,18-Apr,109,9:30,1:50,11:20,,8,10,18,4,2.6,5.96,0.21,0.10,0.07,00108,Eros,1 filter 4 image every 600 seconds,done
MSI_RideNLR_109E,,NLR,18-Apr,109,12:05,1:50,13:55,,8,100,18,4,2.6,59.61,2.09,1.04,0.70,00108,Eros,1 filter 4 image every 60 seconds,done
Opnav 109b KD,,NAV,18-Apr,109,14:45,0:26,15:11,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,18-Apr,109,15:15,8:55,0:10,,,,,,,427.65,15.00,7.47,5.01,,,,
Opnav 110a KD,,NAV,19-Apr,110,0:11,0:26,0:37,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
Star Calibration 110,,NAV,19-Apr,110,2:00,0:30,2:30,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00108,undefined,"Frames taken from park mode, 4 seq 29 (FAST)",done
MSI_RideNLR_110A,,NLR,19-Apr,110,4:00,2:20,6:20,,8,50,18,4,2.6,29.80,1.05,0.52,0.35,00108,Eros,1 filter 4 image every 157 seconds,done
MSI_RideNLR_110B,,NLR,19-Apr,110,6:35,1:50,8:25,,8,50,18,4,2.6,29.80,1.05,0.52,0.35,00108,Eros,1 filter 4 image every 120 seconds,done
Opnav 110b KD,,NAV,19-Apr,110,8:32,0:26,8:58,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
MSI_RideNLR_110C,,NLR,19-Apr,110,9:00,8:50,17:50,,8,200,18,4,2.6,119.22,4.18,2.08,1.40,00108,Eros,1 filter 4 image every 157 seconds,done
Opnav 110c KD,,NAV,19-Apr,110,18:12,0:26,18:38,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
MSI_RideNLR_110D,,NLR,19-Apr,110,18:40,8:10,2:50,,8,200,18,4,2.6,119.22,4.18,2.08,1.40,00108,Eros,1 filter 4 image every 145 seconds,done
Opnav 111a KD,,NAV,20-Apr,111,3:05,0:26,3:31,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
70 m track (26.4 kb/s),43,,20-Apr,111,3:35,6:10,9:45,,,,,,,320.36,11.24,5.60,3.75,,,,
Opnav 111b KD,,NAV,20-Apr,111,9:46,0:26,10:12,F,12,8,27,4,2.5,4.96,0.17,0.09,0.06,00108,Eros,2x2 pointed to a landmark,done
Star Calibration 111,,NAV,20-Apr,111,12:00,0:30,12:30,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00108,undefined,"Frames taken from park mode, 4 seq 29 (FAST)",done
MSI_RideNLR_111A,,NLR,20-Apr,111,13:10,1:30,14:40,,8,80,18,4,2.6,47.69,1.67,0.83,0.56,00108,Eros,1 filter 4 image every 60 seconds,done
MSI Feature 2x2 111,,MSI,20-Apr,111,16:00,1:05,17:05,,8,80,18,4,2.6,47.69,1.67,0.83,0.56,00108,Eros,"2x2s targetted with intermediate frames, 42 seconds apart",done
