Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.     IDs,Filters,Est.  comp.,Mbits,P/B (hrs @8.8 kb/s),P/B (hrs @17.6 kb/s),P/B (hrs @26.4 kb/s),week,Target,Description,Status
NorthPolarLon3  +35(S),,MSI,31-Mar,91,7:16,5:42,12:58,,8,497,18,4,2.5,308.10,10.8,5.4,3.6,00087,Eros, filter 4 2x8 mosaics every 12 deg (TABLE6+FAST),done
NIS_NorthPolarLon3,,MSI,31-Mar,91,7:16,5:42,12:58,,,1928,5,,,2.21,0.1,0.0,0.0,00087,Eros,mp 72-73 (2sp + 0r +0d) calint=7;        900 exec,done
MSI_Starcal_91,,NAV,31-Mar,91,13:01,0:30,13:31,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00087,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
OPN_91a_Q1,,NAV,31-Mar,91,13:30,0:30,14:00,F,8,15,27,4,2.5,9.30,0.3,0.2,0.1,00087,Eros,3x5 mosaic in filter 4 (TABLE5+FAST),done
70 Meter (26.4 kb/s),,,31-Mar,91,14:06,7:45,21:51,,,,,,,498.71,17.50,8.73,5.84,,,,
OPN_91b_H1,,NAV,31-Mar,91,21:50,0:35,22:25,F,8,9,27,4,2.5,5.58,0.2,0.1,0.1,00087,Eros,3x3 mosaic in filter 4 (TABLE5+FAST),done
Flyover 16           +35(S),,MSI,01-Apr,92,0:40,5:22,6:02,,8,312,1,4,2.8,172.69,6.1,3.0,2.0,00087,Eros,one filter 4 image every 60 seconds (TABLE6+FAST),done
NIS_Flyover 16 ,,MSI,01-Apr,92,0:40,5:22,6:02,,,1160,9,,,1.33,0.0,0.0,0.0,00087,Eros,mp 63-71 (16sp + 2r +4d) calint=19;        58 exec,done
Flyover 17,,MSI,01-Apr,92,6:30,5:23,11:53,,8,477,1,4,2.8,264.02,9.3,4.6,3.1,00087,Eros,one filter 4 image every 40 seconds (TABLE6+FAST),done
NIS_Flyover 17,,MSI,01-Apr,92,6:30,5:23,11:53,,,1160,9,,,1.33,0.0,0.0,0.0,00087,Eros,mp 63-71 (16sp + 2r +4d) calint=19;        58 exec,done
MSI_Starcal_92,,NAV,01-Apr,92,12:36,0:30,13:06,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00087,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
OPN_92a_KM1,,NAV,01-Apr,92,13:05,0:30,13:35,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00087,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
70 Meter (26.4 kb/s),,,01-Apr,92,14:10,7:40,21:50,,,,,,,454.87,15.96,7.96,5.32,,,,
OPN_92b_KM1,,NAV,01-Apr,92,21:51,0:35,22:26,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00087,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
OCM 4,,,02-Apr,93,3:15,,,,,,,,,,,,,,,,
OPN_93a_KM1_rev1,,NAV,02-Apr,93,4:15,0:35,4:50,T,8,12,27,4,2.5,14.88,0.5,0.3,0.2,00087,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
70 Meter (26.4 kb/s),,,02-Apr,93,5:00,2:10,7:10,,,,,,,14.88,0.52,0.26,0.17,,,,
OPN_93b_KM1,,NAV,02-Apr,93,7:15,0:35,7:50,T,8,12,27,4,2.5,14.88,0.5,0.3,0.2,00087,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
70 Meter (26.4 kb/s),,,02-Apr,93,8:00,2:20,10:20,,,,,,,14.88,0.52,0.26,0.17,,,,
Equatorial_8x1_D4      0(S),,MSI,02-Apr,93,15:15,0:40,15:55,,12,32,24,"1,3,4,6",1.3,38.15,1.3,0.7,0.4,00087,Eros,8x1 with 4 filters at every position,done
,,,,,,,,,12,40,15,"1,3,4,6,1",1.3,47.69,1.7,0.8,0.6,00087,Eros,Clean (FAST),done
Equatorial_8x1_D1      0(S),,MSI,02-Apr,93,16:10,1:05,17:15,,12,32,24,"1,3,4,6",1.3,38.15,1.3,0.7,0.4,00087,Eros,8x1 with 4 filters at every position,done
,,,,,,,,,12,40,15,"1,3,4,6,1",1.3,47.69,1.7,0.8,0.6,00087,Eros,Clean (FAST),done
Equatorial_6x1_D2      0(S),,MSI,02-Apr,93,17:15,0:55,18:10,,12,24,24,"1,3,4,6",1.3,28.61,1.0,0.5,0.3,00087,Eros,6x1 with 4 filters at every position,done
,,,,,,,,,12,30,15,"1,3,4,6,1",1.3,35.76,1.3,0.6,0.4,00087,Eros,Clean (FAST),done
Equatorial_7x1_D3      0(S),,MSI,02-Apr,93,18:25,1:00,19:25,,12,28,24,"1,3,4,6",1.3,33.38,1.2,0.6,0.4,00087,Eros,7x1 with 4 filters at every position,done
,,,,,,,,,12,35,15,"1,3,4,6,1",1.3,41.73,1.5,0.7,0.5,00087,Eros,Clean (FAST),done
MSI_Starcal_93,,NAV,02-Apr,93,19:23,0:30,19:53,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00087,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
Flyover 18,,NLR,02-Apr,93,20:31,4:30,1:01,,8,160,18,4,2.8,88.56,3.1,1.5,1.0,00087,Eros,one filter 4 image every 68 seconds for 95 im and 46 seconds for 65 im. NLR ride along (TABLE5+FAST),done
NIS_Flyover 18,,MSI,02-Apr,93,20:31,4:30,1:01,,,2450,8,,,2.81,0.1,0.0,0.0,00087,Eros,mp 75 (9sp + 2r +4d) calint=9;        245 exec,done
OPN_94a_KM1,,NAV,03-Apr,94,2:01,0:30,2:31,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00087,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
OPN_94b_KM1,,NAV,03-Apr,94,13:16,0:27,13:43,T,8,12,27,4,2.5,14.88,0.5,0.3,0.2,00087,Eros,4x3 mosaic in filter 4 (TABLE5+FAST),done
70 Meter (26.4 kb/s),,,03-Apr,94,13:42,7:55,21:37,,,,,,,427.32,14.99,7.48,5.00,,,,
Totals for the week for MSI,,,,,,,,,,4411,,,,,,,,,,,


Total images for 200 km,,,,,,,,,,15568,,,,,,,,,,,


Totals spectra for 200 km,,,,,,,,,,35452,,,,,,,,,,,
