Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs  or       # spec,Seq.     IDs,Filters,Est.  comp.,Mbits,P/B (hrs @8.8 kb/s),P/B (hrs @17.6 kb/s),P/B (hrs @26.4 kb/s),week,Target,Description,Status
Star Calibration 065,,NAV,05-Mar,065,08:00,00:10,08:10,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00059,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
 Opnav 65b KL3,,NAV,05-Mar,065,10:00,00:21,10:21,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
 Opnav 65c KL3,,NAV,05-Mar,065,16:28,00:21,16:49,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
34 m track (8.8 kb/s),45,,05-Mar,065,16:35,05:30,22:05,,,,,,,42.32,1.48,0.74,0.50,,,,
 Opnav 66a KL3,,NAV,06-Mar,066,22:20,00:21,22:41,F,8,12,27,4,2.5,7.44,0.3,0.1,0.1,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
South Globals,,NAV/MSI,06-Mar,066,03:00,06:00,09:00,,12,232,18,4,2.6,138.29,4.9,2.4,1.6,00059,Eros,"SouthGlobals: 3x5,3x4,4x3,4x4, or 3x5 every 24 deg for 1.1 Eros rotation.  One filter, autoexp. (FAST)",done
Canopus Calibration 6, ,MSI,06-Mar,066,09:30,00:30,10:00, ,12,112,"3,4, 5,6,11, 12, 23",1-7,2.5,69.43,2.4,1.2,0.8,00059,Canopus,"MSI_CanCal_6: 16 images slewing across 2 pixels with Canopus, repeat (filters 1-7) (FAST)",done
Canopus Point, ,NAV,06-Mar,066,10:05,00:10,10:15, ,12,8,1,"0,4",2.5,4.96,0.2,0.1,0.1,00059,Canopus,"MSI_CanPoint: Point to Canopus take 4 clear, 4 in filter 4",done
 Opnav 66b KL3,,NAV,06-Mar,066,11:00,00:21,11:21,T,8,12,27,4,2.5,14.88,0.5,0.3,0.2,00059,Eros,3x4 mosaic in filter 4 (TABLE 5 + FAST),done
Star Calibration 066,,NAV,06-Mar,066,12:00,00:10,12:10,,12,4,29,0,2.5,2.48,0.1,0.0,0.0,00059,undefined,"Point 90 deg off-NADIR, 4 seq 29, return (FAST)",done
