Orbit,Sub-Solar Lat,Observation,Day of Year,Sequence,MET,Start UTC,End UTC,Sequence ID,Filters,Nonzero Exp Images,Zero Exp Images,Compression,Observation,Brief Description,Detailed Description,Predict Plot,Predict Plot,Predict Plot
52 x 50,-14.1,OPN_BRN1_KH,2000-222,00220,0141193241-0141194640,2000-222T01:03:30,2000-222T01:26:49,27,4,18,0,table5,OPN_BRN1_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_brn1_kh.gif,,
,,OPN_BRN2_KH,2000-222,00220,0141204041-0141205440,2000-222T04:03:30,2000-222T04:26:49,27,4,18,0,table5,OPN_BRN2_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_brn2_kh.gif,,
,,OPN_222a_KD,2000-222,00220,0141240881-0141241662,2000-222T14:17:30,2000-222T14:30:31,27,4,8,0,table5,OPN_222a_KD,Two 2x2s pointed to landmarks,opnav.txt,opn_222a_kd.gif,,
,,MSI_XREQ05_222b,2000-222,00220,0141252541-0141270743,2000-222T17:31:50,2000-222T22:35:12,30,4,53,53,table5,MSI_XREQ05_222b,Take images while XGRS controls pointing,,.,,
,,MSI_3ColorTarget_222b,2000-222,00220,0141272581-0141274597,2000-222T23:05:50,2000-222T23:39:26,"20,19","1,3,4",18,24,lossless,MSI_3ColorTarget_222b,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_222b.gif,,
,,OPN_223a_KD,2000-223,00220,0141276341-0141277122,2000-223T00:08:30,2000-223T00:21:31,27,4,8,0,table5,OPN_223a_KD,Two 2x2s pointed to landmarks,opnav.txt,opn_223a_kd.gif,,
,,MSI_3ColorTarget_223a,2000-223,00220,0141278381-0141280959,2000-223T00:42:30,2000-223T01:25:28,"20,19","1,3,4",21,28,lossless,MSI_3ColorTarget_223a,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_223a.gif,,
,,MSI_XREQ06_223a,2000-223,00220,0141281841-0141284178,2000-223T01:40:10,2000-223T02:19:07,30,4,6,6,table5,MSI_XREQ06_223a,Take images while XGRS controls pointing,,.,,
,,MSI_3ColorTarget_223b,2000-223,00220,0141286751-0141290517,2000-223T03:02:00,2000-223T04:04:46,"20,19","1,3,4",33,44,lossless,MSI_3ColorTarget_223b,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_223b.gif,,
,,MSI_XREQ06_223b,2000-223,00220,0141291217-0141306619,2000-223T04:16:26,2000-223T08:33:08,30,4,45,45,table5,MSI_XREQ06_223b,Take images while XGRS controls pointing,,.,,
,,OPN_223b_KD_5Color,2000-223,00220,0141312711-0141313169,2000-223T10:14:40,2000-223T10:22:18,"24,15","1,2,3,4,6",20,24,lossless,OPN_223b_KD_5Color,2x2 pointed to landmarks,color50km.txt,opn_223b_kd_5color.gif,,
,,OPN_223b_KD,2000-223,00220,0141313578-0141313764,2000-223T10:29:07,2000-223T10:32:13,27,4,4,0,table5,OPN_223b_KD, 2x2 pointed to landmark,opnav.txt,opn_223b_kd.gif,,
,,OPN_223c_KD,2000-223,00220,0141341621-0141342402,2000-223T18:16:30,2000-223T18:29:31,27,4,8,0,table5,OPN_223c_KD,Two 2x2s pointed to landmarks,opnav.txt,opn_223c_kd.gif,,
,,MSI_DarkParkStar_223,2000-223,00220,0141351431-0141351557,2000-223T21:00:00,2000-223T21:02:06,"29,1","0,7",8,0,lossless,MSI_DarkParkStar_223,4 filter 0 images during ParkMode for temp vs pt; 4 filter 7 images for dark current,,.,,
,,MSI_XREQ07_223b,2000-223,00220,0141352301-0141370500,2000-223T21:14:30,2000-224T02:17:49,30,4,71,71,table5,MSI_XREQ07_223b,Take images while XGRS controls pointing,,.,,
,,OPN_224a_KD_5Color,2000-224,00220,0141374231-0141374689,2000-224T03:20:00,2000-224T03:27:38,"24,15","1,2,3,4,6",20,24,lossless,OPN_224a_KD_5Color,2x2 pointed to landmarks,color50km.txt,opn_224a_kd_5color.gif,,
,,OPN_224a_KD,2000-224,00220,0141375098-0141375284,2000-224T03:34:27,2000-224T03:37:33,27,4,4,0,table5,OPN_224a_KD, 2x2 pointed to landmark,opnav.txt,opn_224a_kd.gif,,
,,MSI_XREQ08_224a,2000-224,00220,0141376181-0141382378,2000-224T03:52:30,2000-224T05:35:47,30,4,22,22,table5,MSI_XREQ08_224a,Take images while XGRS controls pointing,,.,,
,,MSI_3ColorTarget_224a,2000-224,00220,0141383281-0141387537,2000-224T05:50:50,2000-224T07:01:46,"20,19","1,3,4",63,84,lossless,MSI_3ColorTarget_224a,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_224a.gif,,
,,MSI_XREQ08_224b,2000-224,00220,0141387751-0141392253,2000-224T07:05:20,2000-224T08:20:22,30,4,16,16,table5,MSI_XREQ08_224b,Take images while XGRS controls pointing,,.,,
52 km,-14.9,MSI_3ColorTarget_224b,2000-224,00220,0141392761-0141393767,2000-224T08:28:50,2000-224T08:45:36,"20,19","1,3,4",9,12,lossless,MSI_3ColorTarget_224b,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_224b.gif,,
,,MSI_XREQ08_224c,2000-224,00220,0141394271-0141398403,2000-224T08:54:00,2000-224T10:02:52,30,4,15,15,table5,MSI_XREQ08_224c,Take images while XGRS controls pointing,,.,,
,,OPN_224b_KD,2000-224,00220,0141399221-0141400002,2000-224T10:16:30,2000-224T10:29:31,27,4,8,0,table5,OPN_224b_KD,Two 2x2s pointed to landmarks,opnav.txt,opn_224b_kd.gif,,
,,OPN_224c_KD,2000-224,00220,0141428021-0141428802,2000-224T18:16:30,2000-224T18:29:31,27,4,8,0,table5,OPN_224c_KD,Two 2x2s pointed to landmarks,opnav.txt,opn_224c_kd.gif,,
,,MSI_DarkParkStar_224,2000-224,00220,0141433691-0141433817,2000-224T19:51:00,2000-224T19:53:06,"29,1","0,7",8,0,lossless,MSI_DarkParkStar_224,4 filter 0 images during ParkMode for temp vs pt; 4 filter 7 images for dark current,,.,,
,,MSI_XREQ09_224b,2000-224,00220,0141438641-0141444838,2000-224T21:13:30,2000-224T22:56:47,9,4,22,22,lossless,MSI_XREQ09_224b,Take images while XGRS controls pointing,,.,,
,,MSI_3ColorTarget_224c,2000-224,00220,0141445261-0141446337,2000-224T23:03:50,2000-224T23:21:46,"20,19","1,3,4",18,24,lossless,MSI_3ColorTarget_224c,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_224c.gif,,
,,MSI_XREQ09_224c,2000-224,00220,0141446551-0141458553,2000-224T23:25:20,2000-225T02:45:22,30,4,49,49,table5,MSI_XREQ09_224c,Take images while XGRS controls pointing,,.,,
,,OPN_225a_KD,2000-225,00220,0141459341-0141460122,2000-225T02:58:30,2000-225T03:11:31,27,4,8,0,table5,OPN_225a_KD,Two 2x2s pointed to landmarks,opnav.txt,opn_225a_kd.gif,,
,,MSI_XREQ10_225b,2000-225,00220,0141461381-0141474133,2000-225T03:32:30,2000-225T07:05:02,30,4,103,103,table5,MSI_XREQ10_225b,Take images while XGRS controls pointing,,.,,
,,MSI_3ColorTarget_225b,2000-225,00220,0141474516-0141475592,2000-225T07:11:25,2000-225T07:29:21,"20,19","1,3,4",18,24,lossless,MSI_3ColorTarget_225b,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_225b.gif,,
,,MSI_XREQ10_225c,2000-225,00220,0141475806-0141484808,2000-225T07:32:55,2000-225T10:02:57,30,4,37,37,table5,MSI_XREQ10_225c,Take images while XGRS controls pointing,,.,,
,,OPN_225b_KD,2000-225,00220,0141485621-0141486402,2000-225T10:16:30,2000-225T10:29:31,27,4,8,0,table5,OPN_225b_KD,Two 2x2s pointed to landmarks,opnav.txt,opn_225b_kd.gif,,
,,OPN_225c_KH,2000-225,00220,0141514421-0141514917,2000-225T18:16:30,2000-225T18:24:46,27,4,9,0,table5,OPN_225c_KH, 3x3 pointed to landmarks,opnav.txt,opn_225c_kh.gif,,
,,OPN_225c_KD_5Color,2000-225,00220,0141515384-0141515842,2000-225T18:32:33,2000-225T18:40:11,"24,15","1,2,3,4,6",20,24,lossless,OPN_225c_KD_5Color,2x2 pointed to landmarks,color50km.txt,opn_225c_kd_5color.gif,,
,,MSI_DarkParkStar_225,2000-225,00220,0141520091-0141520217,2000-225T19:51:00,2000-225T19:53:06,"29,1","0,7",8,0,lossless,MSI_DarkParkStar_225,4 filter 0 images during ParkMode for temp vs pt; 4 filter 7 images for dark current,,.,,
,,MSI_XREQ11_225b,2000-225,00220,0141525041-0141541843,2000-225T21:13:30,2000-226T01:53:32,30,4,85,85,table5,MSI_XREQ11_225b,Take images while XGRS controls pointing,,.,,
,,OPN_226a_KD_5Color,2000-226,00220,0141542831-0141544149,2000-226T02:10:00,2000-226T02:31:58,"24,15","1,2,3,4,6",40,48,lossless,OPN_226a_KD_5Color,Two 2x2s pointed to landmarks,color50km.txt,opn_226a_kd_5color.gif,,
,,MSI_XREQ12_226a,2000-226,00220,0141544781-0141567533,2000-226T02:42:30,2000-226T09:01:42,30,4,92,92,table5,MSI_XREQ12_226a,Take images while XGRS controls pointing,,.,,
,,OPN_226b_KH,2000-226,00220,0141568421-0141569820,2000-226T09:16:30,2000-226T09:39:49,27,4,18,0,table5,OPN_226b_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_226b_kh.gif,,
51 km,-15.8,OPN_226c_KD_5Color,2000-226,00220,0141597311-0141597769,2000-226T17:18:00,2000-226T17:25:38,"24,15","1,2,3,4,6",20,24,lossless,OPN_226c_KD_5Color,2x2 pointed to landmarks,color50km.txt,opn_226c_kd_5color.gif,,
,,OPN_226c_KH,2000-226,00220,0141598178-0141598674,2000-226T17:32:27,2000-226T17:40:43,27,4,9,0,table5,OPN_226c_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_226c_kh.gif,,
,,MSI_DarkParkStar_226,2000-226,00220,0141599831-0141599957,2000-226T18:00:00,2000-226T18:02:06,"29,1","0,7",8,0,lossless,MSI_DarkParkStar_226,4 filter 0 images during ParkMode for temp vs pt; 4 filter 7 images for dark current,,.,,
,,MSI_XREQ13_226b,2000-226,00220,0141607841-0141609499,2000-226T20:13:30,2000-226T20:41:08,30,4,7,7,table5,MSI_XREQ13_226b,Take images while XGRS controls pointing,,.,,
,,MSI_3ColorTarget_226b,2000-226,00220,0141609796-0141612812,2000-226T20:46:05,2000-226T21:36:21,"20,19","1,3,4",33,44,lossless,MSI_3ColorTarget_226b,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_226b.gif,,
,,MSI_XREQ13_226c,2000-226,00220,0141613206-0141625208,2000-226T21:42:55,2000-227T01:02:57,30,4,41,41,table5,MSI_XREQ13_226c,Take images while XGRS controls pointing,,.,,
,,OPN_227a_KH,2000-227,00220,0141626141-0141627540,2000-227T01:18:30,2000-227T01:41:49,27,4,18,0,table5,OPN_227a_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_227a_kh.gif,,
,,MSI_XREQ14_227a,2000-227,00220,0141628181-0141653733,2000-227T01:52:30,2000-227T08:58:22,30,4,147,147,table5,MSI_XREQ14_227a,Take images while XGRS controls pointing,,.,,
,,OPN_227b_KH,2000-227,00220,0141654821-0141656220,2000-227T09:16:30,2000-227T09:39:49,27,4,18,0,table5,OPN_227b_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_227b_kh.gif,,
,,OPN_227c_DKH,2000-227,00227,0141683561-0141684960,2000-227T17:15:30,2000-227T17:38:49,27,4,18,0,table5,OPN_227c_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_227c_dkh.gif,,
,,MSI_ParkStar_227,2000-227,00227,0141689291-0141689297,2000-227T18:51:00,2000-227T18:51:06,29,0,4,0,lossless,MSI_ParkStar_227,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ01_227b,2000-227,00227,0141696341-0141711163,2000-227T20:48:30,2000-228T00:55:32,9,4,79,79,lossless,MSI_XREQ01_227b,Take images while XGRS controls pointing,,.,,
,,OPN_228a_DKH,2000-228,00227,0141711941-0141713340,2000-228T01:08:30,2000-228T01:31:49,27,4,18,0,table5,OPN_228a_DKH, Two 3x3s pointed to landmarks,opnav.txt,opn_228a_dkh.gif,,
,,MSI_XREQ02_228a1,2000-228,00227,0141713981-0141715477,2000-228T01:42:30,2000-228T02:07:26,9,4,7,7,lossless,MSI_XREQ02_228a1,Take images while XGRS controls pointing,,.,,
,,MSI_3ColorTarget_228a,2000-228,00227,0141716151-0141716527,2000-228T02:18:40,2000-228T02:24:56,"20,19","1,3,4",12,16,lossless,MSI_3ColorTarget_228a,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_228a.gif,,
,,MSI_XREQ02_228a2,2000-228,00227,0141717071-0141726253,2000-228T02:34:00,2000-228T05:07:02,9,4,37,37,lossless,MSI_XREQ02_228a2,Take images while XGRS controls pointing,,.,,
,,MSI_3ColorTarget_228b,2000-228,00227,0141726651-0141727027,2000-228T05:13:40,2000-228T05:19:56,"20,19","1,3,4",12,16,lossless,MSI_3ColorTarget_228b,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_228b.gif,,
,,MSI_XREQ02_228a3,2000-228,00227,0141727571-0141740243,2000-228T05:29:00,2000-228T09:00:12,9,4,40,40,lossless,MSI_XREQ02_228a3,Take images while XGRS controls pointing,,.,,
,,OPN_228b_DKH,2000-228,00227,0141741221-0141742620,2000-228T09:16:30,2000-228T09:39:49,27,4,18,0,table5,OPN_228b_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_228b_dkh.gif,,
,,OPN_228c_DKH,2000-228,00227,0141769961-0141771360,2000-228T17:15:30,2000-228T17:38:49,27,4,18,0,table5,OPN_228c_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_228c_dkh.gif,,
50 km,-16.6,MSI_ParkStar_228,2000-228,00227,0141779831-0141779837,2000-228T20:00:00,2000-228T20:00:06,29,0,4,0,lossless,MSI_ParkStar_228,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ03_228b,2000-228,00227,0141780641-0141798058,2000-228T20:13:30,2000-229T01:03:47,9,4,82,82,lossless,MSI_XREQ03_228b,Take images while XGRS controls pointing,,.,,
,,OPN_229a_DKH,2000-229,00227,0141798941-0141800340,2000-229T01:18:30,2000-229T01:41:49,27,4,18,0,table5,OPN_229a_DKH, Two 3x3s pointed to landmarks,opnav.txt,opn_229a_dkh.gif,,
,,MSI_XREQ04_229a,2000-229,00227,0141800981-0141826568,2000-229T01:52:30,2000-229T08:58:57,9,4,120,120,lossless,MSI_XREQ04_229a,Take images while XGRS controls pointing,,.,,
,,OPN_229b_DKH,2000-229,00227,0141827621-0141829020,2000-229T09:16:30,2000-229T09:39:49,27,4,18,0,table5,OPN_229b_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_229b_dkh.gif,,
,,OPN_229c_DKH,2000-229,00227,0141856361-0141857760,2000-229T17:15:30,2000-229T17:38:49,27,4,18,0,table5,OPN_229c_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_229c_dkh.gif,,
,,MSI_ParkStar_229,2000-229,00227,0141862091-0141862097,2000-229T18:51:00,2000-229T18:51:06,29,0,4,0,lossless,MSI_ParkStar_229,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ05_229b,2000-229,00227,0141867041-0141883168,2000-229T20:13:30,2000-230T00:42:17,9,4,76,76,lossless,MSI_XREQ05_229b,Take images while XGRS controls pointing,,.,,
,,OPN_230a_DKH,2000-230,00227,0141884141-0141885540,2000-230T00:58:30,2000-230T01:21:49,27,4,18,0,table5,OPN_230a_DKH, Two 3x3s pointed to landmarks,opnav.txt,opn_230a_dkh.gif,,
,,MSI_XREQ06_230a1,2000-230,00227,0141886181-0141902467,2000-230T01:32:30,2000-230T06:03:56,9,4,70,70,lossless,MSI_XREQ06_230a1,Take images while XGRS controls pointing,,.,,
,,MSI_3ColorTarget_230,2000-230,00227,0141906291-0141906907,2000-230T07:07:40,2000-230T07:17:56,"20,19","1,3,4",18,24,lossless,MSI_3ColorTarget_230,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_230.gif,,
,,MSI_XREQ06_230a2,2000-230,00227,0141907451-0141911538,2000-230T07:27:00,2000-230T08:35:07,9,4,20,20,lossless,MSI_XREQ06_230a2,Take images while XGRS controls pointing,,.,,
,,OPN_230b_DKH,2000-230,00227,0141912221-0141913620,2000-230T08:46:30,2000-230T09:09:49,27,4,18,0,table5,OPN_230b_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_230b_dkh.gif,,
,,OPN_230c_DKH,2000-230,00227,0141941861-0141943260,2000-230T17:00:30,2000-230T17:23:49,27,4,18,0,table5,OPN_230c_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_230c_dkh.gif,,
,,MSI_ParkStar_230,2000-230,00227,0141950831-0141950837,2000-230T19:30:00,2000-230T19:30:06,29,0,4,0,lossless,MSI_ParkStar_230,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ07_230b,2000-230,00227,0141952541-0141970303,2000-230T19:58:30,2000-231T00:54:32,30,4,97,97,table5,MSI_XREQ07_230b,Take images while XGRS controls pointing,,.,,
,,OPN_231a_DKH,2000-231,00227,0141971141-0141972540,2000-231T01:08:30,2000-231T01:31:49,27,4,18,0,table5,OPN_231a_DKH, Two 3x3s pointed to landmarks,opnav.txt,opn_231a_dkh.gif,,
,,MSI_XREQ08_231a,2000-231,00227,0141973181-0141999413,2000-231T01:42:30,2000-231T08:59:42,9,4,123,123,lossless,MSI_XREQ08_231a,Take images while XGRS controls pointing,,.,,
,,OPN_231b_DKH,2000-231,00227,0142000421-0142001820,2000-231T09:16:30,2000-231T09:39:49,27,4,18,0,table5,OPN_231b_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_231b_dkh.gif,,
,,OPN_231c_DKH,2000-231,00227,0142029161-0142030560,2000-231T17:15:30,2000-231T17:38:49,27,4,18,0,table5,OPN_231c_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_231c_dkh.gif,,
52 km,-17.7,MSI_ParkStar_231,2000-231,00227,0142034891-0142034897,2000-231T18:51:00,2000-231T18:51:06,29,0,4,0,lossless,MSI_ParkStar_231,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ09_231b,2000-231,00227,0142039841-0142057233,2000-231T20:13:30,2000-232T01:03:22,9,4,75,75,lossless,MSI_XREQ09_231b,Take images while XGRS controls pointing,,.,,
,,OPN_232a_DKH,2000-232,00227,0142058141-0142059540,2000-232T01:18:30,2000-232T01:41:49,27,4,18,0,table5,OPN_232a_DKH, Two 3x3s pointed to landmarks,opnav.txt,opn_232a_dkh.gif,,
,,MSI_XREQ10_232a,2000-232,00227,0142060181-0142085703,2000-232T01:52:30,2000-232T08:57:52,9,4,111,111,lossless,MSI_XREQ10_232a,Take images while XGRS controls pointing,,.,,
,,OPN_232b_DKH,2000-232,00227,0142086821-0142088220,2000-232T09:16:30,2000-232T09:39:49,27,4,18,0,table5,OPN_232b_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_232b_dkh.gif,,
,,OPN_232c_DKH,2000-232,00227,0142115561-0142116960,2000-232T17:15:30,2000-232T17:38:49,27,4,18,0,table5,OPN_232c_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_232c_dkh.gif,,
,,MSI_ParkStar_232,2000-232,00227,0142121291-0142121297,2000-232T18:51:00,2000-232T18:51:06,29,0,4,0,lossless,MSI_ParkStar_232,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ11_232b,2000-232,00227,0142126241-0142142368,2000-232T20:13:30,2000-233T00:42:17,9,4,76,76,lossless,MSI_XREQ11_232b,Take images while XGRS controls pointing,,.,,
,,OPN_233a_DKH,2000-233,00227,0142143341-0142144740,2000-233T00:58:30,2000-233T01:21:49,27,4,18,0,table5,OPN_233a_DKH, Two 3x3s pointed to landmarks,opnav.txt,opn_233a_dkh.gif,,
,,MSI_XREQ12_233b,2000-233,00227,0142145381-0142172148,2000-233T01:32:30,2000-233T08:58:37,9,4,102,102,lossless,MSI_XREQ12_233b,Take images while XGRS controls pointing,,.,,
,,OPN_233b_DKH,2000-233,00227,0142173221-0142174620,2000-233T09:16:30,2000-233T09:39:49,27,4,18,0,table5,OPN_233b_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_233b_dkh.gif,,
,,OPN_233c_DKH,2000-233,00227,0142201961-0142203360,2000-233T17:15:30,2000-233T17:38:49,27,4,18,0,table5,OPN_233c_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_233c_dkh.gif,,
,,MSI_ParkStar_233,2000-233,00227,0142204331-0142204337,2000-233T17:55:00,2000-233T17:55:06,29,0,4,0,lossless,MSI_ParkStar_233,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ13_233b,2000-233,00227,0142212641-0142229413,2000-233T20:13:30,2000-234T00:53:02,9,4,79,79,lossless,MSI_XREQ13_233b,Take images while XGRS controls pointing,,.,,
,,OPN_234a_DKH,2000-234,00227,0142230341-0142231740,2000-234T01:08:30,2000-234T01:31:49,27,4,18,0,table5,OPN_234a_DKH, Two 3x3s pointed to landmarks,opnav.txt,opn_234a_dkh.gif,,
,,MSI_XREQ14_234a,2000-234,00227,0142232381-0142257391,2000-234T01:42:30,2000-234T08:39:20,9,4,99,99,lossless,MSI_XREQ14_234a,Take images while XGRS controls pointing,,.,,
,,OPN_234b_DKH,2000-234,00227,0142259621-0142261020,2000-234T09:16:30,2000-234T09:39:49,27,4,18,0,table5,OPN_234b_DKH,Two 3x3s pointed to landmarks,opnav.txt,opn_234b_dkh.gif,,
,,OPN_234C_KH,2000-234,00234,0142288421-0142289820,2000-234T17:16:30,2000-234T17:39:49,27,4,18,0,table5,OPN_234C_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_234c_kh.gif,,
,,MSI_ParkStar_234,2000-234,00234,0142294091-0142294097,2000-234T18:51:00,2000-234T18:51:06,29,0,4,0,lossless,MSI_ParkStar_234,Take images during ParkMode for temp vs pt,,,,
,,MSI_XREQ01_234b,2000-234,00234,0142299046-0142300334,2000-234T20:13:35,2000-234T20:35:03,"20,19","1,3,4",21,28,lossless,MSI_XREQ01_234b,Misnamed! This should be MSI_3ColorTarget_234b. Can't change it now.,color50km.txt,msi_3colortarget_234b.gif,,
50 km,-18.8,MSI_3ColorTarget_234b,2000-234,00234,0142300538-0142313364,2000-234T20:38:27,2000-235T00:12:13,9,4,57,57,lossless,MSI_3ColorTarget_234b,Misnamed! This should be MSI_XREQ01_234b. Can't change it now,,msi_xreq01_234b.gif,,
,,OPN_235a_KH,2000-235,00234,0142317341-0142318740,2000-235T01:18:30,2000-235T01:41:49,27,4,18,0,table5,OPN_235a_KH, Two 3x3s pointed to landmarks,opnav.txt,opn_235a_kh.gif,,
,,MSI_XREQ02_235a,2000-235,00234,0142319381-0142344998,2000-235T01:52:30,2000-235T08:59:27,9,4,110,110,lossless,MSI_XREQ02_235a,Take images while XGRS controls pointing,,.,,
,,OPN_235b_KH,2000-235,00234,0142346021-0142347420,2000-235T09:16:30,2000-235T09:39:49,27,4,18,0,table5,OPN_235b_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_235b_kh.gif,,
,,OPN_235c_KH,2000-235,00234,0142374821-0142376220,2000-235T17:16:30,2000-235T17:39:49,27,4,18,0,table5,OPN_235c_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_235c_kh.gif,,
,,MSI_DarkParkStar_235,2000-235,00234,0142380491-0142380617,2000-235T18:51:00,2000-235T18:53:06,"29,1","0,7",8,0,lossless,MSI_DarkParkStar_235,4 filter 0 images during ParkMode for temp vs pt; 4 filter 7 images for dark current,,.,,
,,MSI_3ColorTarget_235b,2000-235,00234,0142385446-0142386734,2000-235T20:13:35,2000-235T20:35:03,"20,19","1,3,4",21,28,lossless,MSI_3ColorTarget_235b,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_235b.gif,,
,,MSI_XREQ03_235b,2000-235,00234,0142386938-0142398440,2000-235T20:38:27,2000-235T23:50:09,9,4,51,51,lossless,MSI_XREQ03_235b,Take images while XGRS controls pointing,,msi_xreq03_235b.gif,,
,,OPN_236a_KH,2000-236,00234,0142402541-0142403940,2000-236T00:58:30,2000-236T01:21:49,27,4,18,0,table5,OPN_236a_KH, Two 3x3s pointed to landmarks,opnav.txt,opn_236a_kh.gif,,
,,MSI_XREQ04_236a,2000-236,00234,0142404581-0142431263,2000-236T01:32:30,2000-236T08:57:12,9,4,116,116,lossless,MSI_XREQ04_236a,Take images while XGRS controls pointing,,.,,
,,OPN_236b_KH,2000-236,00234,0142432421-0142433820,2000-236T09:16:30,2000-236T09:39:49,27,4,18,0,table5,OPN_236b_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_236b_kh.gif,,
,,OPN_236c_KH,2000-236,00234,0142461221-0142462620,2000-236T17:16:30,2000-236T17:39:49,27,4,18,0,table5,OPN_236c_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_236c_kh.gif,,
,,MSI_ParkStar_236,2000-236,00234,0142466891-0142466897,2000-236T18:51:00,2000-236T18:51:06,29,0,4,0,lossless,MSI_ParkStar_236,Take images during ParkMode for temp vs pt,,.,,
,,MSI_XREQ05_236b,2000-236,00234,0142471841-0142482835,2000-236T20:13:30,2000-236T23:16:44,9,4,49,49,lossless,MSI_XREQ05_236b,Take images while XGRS controls pointing,,msi_xreq05_236b.gif,,
,,MSI_3ColorTarget_236b,2000-236,00234,0142484216-0142485504,2000-236T23:39:45,2000-237T00:01:13,"20,19","1,3,4",21,28,lossless,MSI_3ColorTarget_236b,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_236b.gif,,
,,OPN_237a_KH,2000-237,00234,0142489541-0142490940,2000-237T01:08:30,2000-237T01:31:49,27,4,18,0,table5,OPN_237a_KH, Two 3x3s pointed to landmarks,opnav.txt,opn_237a_kh.gif,,
,,MSI_XREQ06_237a,2000-237,00234,0142491581-0142517635,2000-237T01:42:30,2000-237T08:56:44,30,4,168,168,table5,MSI_XREQ06_237a,Take images while XGRS controls pointing,,.,,
,,OPN_237b_KH,2000-237,00234,0142518821-0142520220,2000-237T09:16:30,2000-237T09:39:49,27,4,18,0,table5,OPN_237b_KH,Two 3x3s pointed to landmarks,opnav.txt,opn_237b_kh.gif,,
,,OPN_237c_KH,2000-237,00234,0142547621-0142548710,2000-237T17:16:29,2000-237T17:34:38,27,4,13,0,table5,OPN_237c_KH,3x3 + 2x2 pointed to landmarks,opnav.txt,opn_237c_kh.gif,,
,,MSI_DarkParkStar_237,2000-237,00234,0142553291-0142553417,2000-237T18:50:59,2000-237T18:53:05,"29,1","0,7",8,0,lossless,MSI_DarkParkStar_237,4 filter 0 images during ParkMode for temp vs pt; 4 filter 7 images for dark current,,.,,
52 km,-19.9,MSI_StarCal_238,2000-238,00234,0142575971-0142575977,2000-238T01:08:59,2000-238T01:09:05,27,0,4,0,table5,MSI_StarCal_238, Two 3x3s pointed to landmarks,,,,
,,OPN_238a_KH,2000-238,00234,0142576596-0142577995,2000-238T01:19:24,2000-238T01:42:43,29,4,18,0,lossless,OPN_238a_KH,Take images during ParkMode for temp vs pt,opnav.txt,opn_238a_kh.gif,,
,,MSI_3ColorTarget_238a,2000-238,00234,0142578586-0142582842,2000-238T01:52:34,2000-238T03:03:30,"20,19","1,3,4",63,84,lossless,MSI_3ColorTarget_238a,Take images while XGRS controls pointing,color50km.txt,msi_3colortarget_238a.gif,,
,,MSI_XREQ08_238a,2000-238,00234,0142583051-0142602546,2000-238T03:06:59,2000-238T08:31:54,9,4,102,102,lossless,MSI_XREQ08_238a,Take images while XGRS controls pointing,,msi_xreq08_238a.gif,,
