Orbit,Sub-Solar Lat,Observation,Day of Year,Sequence,MET,Start UTC,End UTC,Sequence ID,Filters,Nonzero Exp Images,Zero Exp Images,Compression,Observation,Brief Description,Detailed Description,Predict Plot,Predict Plot,Predict Plot
,,MSINLRAlignTest_2,2000-021,00017,0123904927-0123905246,2000-021T22:45:02,2000-021T22:50:21,17,7,16,0,lossless,MSINLRAlignTest_2,"4 images taken 1 sec apart in 4 tests. Timed to occur before, during and after 2 8 Hz bursts",,,,
29190 km,71.4,OPNAVBP_103,2000-022,00017,0123917140-0123917169,2000-022T02:08:35,2000-022T02:09:04,"29,8,9",0,8,0,lossless,OPNAVBP_103,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,opnavbp_103.gif,,
,,MSI_Movie3,2000-022,00017,0123930125-0123950379,2000-022T05:45:00,2000-022T11:22:34,18,4,780,0,table5,MSI_Movie3,1 image every 1/2 deg for 1.1 rotations (Eros= 12 pixels),approachmovies.txt,msi_movie3.gif,,
,,OPNAVBP_104,2000-024,00017,0124133140-0124133169,2000-024T14:08:35,2000-024T14:09:04,"29,8,9",0,8,0,lossless,OPNAVBP_104,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,opnavbp_104.gif,,
,,OPNAVBP_105,2000-025,00024,0124179940-0124179969,2000-025T03:08:35,2000-025T03:09:04,"29,8,9",0,8,0,lossless,OPNAVBP_105,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,opnavbp_105.gif,,
,,MSI_NixRasTstNarrw,2000-025,00024,0124182130-0124200243,2000-025T03:45:05,2000-025T08:46:58,1,4,144,0,table5,MSI_NixRasTstNarrw,3 images taken at each position of 6x8 mosaic,rastertests.txt,msi_nixraststnarrw.gif,nis_nixraststnarr.gif,
,,MSI_NixRasTstWide,2000-025,00024,0124200930-0124216623,2000-025T08:58:25,2000-025T13:19:58,2,4,232,0,table5,MSI_NixRasTstWide,3 images taken at each position of 10x8 mosaic,rastertests.txt,msi_nixraststwide.gif,nis_nixraststwide.gif,
,,MSI_MSLtCv3,2000-026,00024,0124263125-0124281859,2000-026T02:15:00,2000-026T07:27:14,25,"0,1,2,3,4,5,6,7",104,0,lossless,MSI_MSLtCv3,8 filters every 30 deg for 1 rotation (Eros = 16 short pix),approachmovies.txt,msi_msltcv3.gif,,
,,OPNAVBP_106,2000-026,00024,0124295140-0124295169,2000-026T11:08:35,2000-026T11:09:04,"29,8,9",0,8,0,lossless,OPNAVBP_106,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,opnavbp_106.gif,,
,,OPNAVBP_107,2000-027,00024,0124392340-0124392369,2000-027T14:08:35,2000-027T14:09:04,"29,8,9",0,8,0,lossless,OPNAVBP_107,"8 images (5 exposed for Eros, 3 for stars)",opnav.txt,opnavbp_107.gif,,
,,MSI_SatSrchB,2000-028,00024,0124457225-0124466188,2000-028T08:10:00,2000-028T10:39:23,"7,26",0,172,0,lossless,MSI_SatSrchB,"7x6 mosaic centered on Eros , 4 images at each position",satsearches.txt,msi_satsrchb.gif,,
