Orbit,Sub-Solar Lat,Observation,Day of Year,Sequence,MET,Start UTC,End UTC,Sequence ID,Filters,Nonzero Exp Images,Zero Exp Images,Compression,Observation,Brief Description,Detailed Description,Predict Plot,Predict Plot,Predict Plot
,,Earth1_DrkCurr,1998-023,earth1seq.txt,0060948723-0060948725,1998-023T06:55:19,1998-023T06:55:21,,7,2,0,,Earth1_DrkCurr,Dark current monitoring,earth1.txt,,,
,,Earth1_AralSea,1998-023,earth1seq.txt,0060950215-0060950229,1998-023T07:20:11,1998-023T07:20:25,,1,8,0,,Earth1_AralSea,Monochrome Image Quality,earth1.txt,aral.gif,msiearth1.gif,nisflygrndtrka.gif
,,,,,,,,,,,,,,,,,,nisflygrndtrkb.gif
,,,,,,,,,,,,,,,,,,nisflyoverlap.gif
,,Earth1_Iran,1998-023,earth1seq.txt,0060950351-0060950365,1998-023T07:22:27,1998-023T07:22:41,,1,8,0,,Earth1_Iran,Monochrome Image Quality,earth1.txt,mideast.gif,msiearth1.gif,mideast.gif
,,Earth1_PersianGulf,1998-023,earth1seq.txt,0060950383-0060950397,1998-023T07:22:59,1998-023T07:23:13,,1,8,0,,Earth1_PersianGulf,Monochrome Image Quality,earth1.txt,mideast.gif,msiearth1.gif,mideast.gif
,,Earth1_SaudiArabia1,1998-023,earth1seq.txt,0060950421-0060950435,1998-023T07:23:37,1998-023T07:23:51,,1,8,0,,Earth1_SaudiArabia1,Monochrome Image Quality,earth1.txt,mideast.gif,msiearth1.gif,mideast.gif
,,Earth1_SaudiArabia2,1998-023,earth1seq.txt,0060950451-0060950465,1998-023T07:24:07,1998-023T07:24:21,,1,8,0,,Earth1_SaudiArabia2,Monochrome Image Quality,earth1.txt,mideast.gif,msiearth1.gif,mideast.gif
,,Earth1_Ethiopia,1998-023,earth1seq.txt,0060950555-0060950576,1998-023T07:25:51,1998-023T07:26:12,,1,8,0,,Earth1_Ethiopia,Monochrome Image Quality,earth1.txt,ethiopia.gif,msiearth1.gif,
,,Earth2_Africa,1998-023,earth2seq.txt,0060952323-0060952560,1998-023T07:55:19,1998-023T07:59:16,,"1,2,3,4,5,6,7",28,0,,Earth2_Africa,"Multispectral image quality, coordination of observations with NIS",earth2.txt,msiafrica.gif,nisafrica.gif,
,,Earth2_Antarctica,1998-023,earth2seq.txt,0060953823-0060953835,1998-023T08:20:19,1998-023T08:20:31,,"1,2,3,4,5,6,7",7,0,,Earth2_Antarctica,Intercalibration with NIS,earth2.txt,msiant.gif,,
,,ScattLightCal1,1998-023,earth2seq.txt,0060955005-0060955169,1998-023T08:40:01,1998-023T08:42:45,,"1,2,3,4,5,6,7",8,2,,ScattLightCal1,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,msispin.gif,,
,,EarthMovie1a_SoPole,1998-023,earth2seq.txt,0060955725-0060962929,1998-023T08:52:01,1998-023T10:52:05,,"1,2,3,4",34,0,,EarthMovie1a_SoPole,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,msispin.gif,,
,,ScattLightCal2,1998-023,earth2seq.txt,0060963645-0060963809,1998-023T11:04:01,1998-023T11:06:45,,"1,2,3,4,5,6,7",8,2,,ScattLightCal2,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,msispin.gif,,
,,EarthMovie1b_SoPole,1998-023,earth2seq.txt,0060964365-0060973729,1998-023T11:16:01,1998-023T13:52:05,,"1,2,3,4",44,0,,EarthMovie1b_SoPole,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,msispin.gif,,
,,ScattLightCal3,1998-023,earth2seq.txt,0060974445-0060974609,1998-023T14:04:01,1998-023T14:06:45,,"1,2,3,4,5,6,7",8,2,,ScattLightCal3,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,msispin.gif,,
,,EarthMovie1c_SoPole,1998-023,earth2seq.txt,0060975165-0060991009,1998-023T14:16:01,1998-023T18:40:05,,"1,2,3,4",72,0,,EarthMovie1c_SoPole,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,msispin.gif,,
,,ScattLightCal4,1998-023,earth2seq.txt,0060991725-0060991889,1998-023T18:52:01,1998-023T18:54:45,,"1,2,3,4,5,6,7",15,2,,ScattLightCal4,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,msispin.gif,,
,,Moon1ScattRadiomtrCal,1998-023,moon1seq.txt,0060996906-0060998626,1998-023T20:18:22,1998-023T20:47:02,,"0,1,2,3,4,5,6,7",51,0,,Moon1ScattRadiomtrCal,"Infield scattered light, radiometric responsivity",moon1.txt,msirad.gif,,
,,Moon1_OutOfFldStrayLt,1998-023,moon1seq.txt,0060999405-0061004206,1998-023T21:00:01,1998-023T22:20:02,,"0,1,2,3,4,5,6,7",216,0,,Moon1_OutOfFldStrayLt,Out of field stray light,moon1.txt,msiscaty.gif,msiscatz.gif,
,,EarthMovie2a_SoPole,1998-023,earth2seq.txt,0061006125-0061029169,1998-023T22:52:01,1998-024T05:16:05,,"1,2,3,4",104,0,,EarthMovie2a_SoPole,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,msispin.gif,,
,,ScattLightCal5,1998-024,earth2seq.txt,0061029885-0061030049,1998-024T05:28:01,1998-024T05:30:45,,"1,2,3,4,5,6,7",15,2,,ScattLightCal5,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,,,
,,EarthMovie2b_SoPole,1998-024,earth2seq.txt,0061030605-0061080291,1998-024T05:40:01,1998-024T19:28:07,,"1,2,3,4",219,0,,EarthMovie2b_SoPole,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,,,
,,ScattLightCal6,1998-024,earth2seq.txt,0061094685-0061094849,1998-024T23:28:01,1998-024T23:30:45,,"1,2,3,4,5,6,7",15,2,,ScattLightCal6,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,msispin.gif,,
,,ScattLightCal7,1998-026,earth2seq.txt,0061214205-0061214369,1998-026T08:40:01,1998-026T08:42:45,,"1,2,3,4,5,6,7",15,2,,ScattLightCal7,"Scattered light, radiometric responsivity, testing of automatic exposure algorithm",earth2.txt,,,
,,Moon2_MSINIS_coalign,1998-026,moon2coalignseq.txt,0061216605-0061218705,1998-026T09:20:01,1998-026T09:55:01,,1,30,0,,Moon2_MSINIS_coalign,Co-alignment of MSI and NIS,moon2.txt,coalignrow.gif,coaligncol.gif,
